formula,probability,confidence
HfMnBr3,0.9625515211344788,Very High
VCoTe3,0.9621486933487169,Very High
Fe2S3,0.9618392914860977,Very High
MnPdS3,0.9615286195912447,Very High
Fe2CuF4,0.9613816639301009,Very High
Mn(MoO2)2,0.9612775947569695,Very High
Fe2Cl3,0.9612412644265436,Very High
TaFeI3,0.9612025446645484,Very High
MnNbO3,0.9611914168484132,Very High
TaFeO3,0.9606801520614162,Very High
MnRuBr3,0.9604027148220605,Very High
FeBrCl2,0.9592831381637347,Very High
TaFeCl3,0.9591403347974565,Very High
VCoBr3,0.9590226191497477,Very High
CrClO2,0.9583562979067377,Very High
NbFeO3,0.957903015230026,Very High
CrBrO2,0.9574198007573287,Very High
MnI2F,0.9573840582878766,Very High
VNi2F4,0.9571479227896227,Very High
Fe(MoI2)2,0.9567254816586375,Very High
CrNiCl4,0.9564264804740268,Very High
Fe(RuO2)2,0.9562156940492125,Very High
Fe2CuI4,0.9561073610021901,Very High
MnNbF3,0.9559073325155567,Very High
Ti(CrSe2)2,0.9557129171508761,Very High
Fe2CuBr4,0.9555732643661091,Very High
Fe2Se3,0.9554886142449909,Very High
Ti(CrTe2)2,0.9551552216003302,Very High
NbFeBr3,0.9551019859348189,Very High
MnPdSe3,0.954899438060059,Very High
CrRuO3,0.9548668222555279,Very High
V(NiTe2)2,0.9536150968183934,Very High
FeWF3,0.9533366983350101,Very High
Nb2CrF4,0.9532711238662488,Very High
V(CoSe2)2,0.9531624814851961,Very High
MnWCl3,0.9529633564930118,Very High
Mn(WF2)2,0.9527328494958415,Very High
CrFeCl4,0.951852606062429,Very High
MnSeCl2,0.9518367200676532,Very High
FeRuO3,0.9517910753653303,Very High
Co(MoI2)2,0.9516175193393828,Very High
Co2NiI4,0.9512829597264737,Very High
TiCrF3,0.9510119251734777,Very High
CoMoBr3,0.9509403615272668,Very High
CrCuO3,0.9505983586968921,Very High
MnIF2,0.9505425968174347,Very High
MnIO2,0.95053495683169,Very High
VNiO3,0.9500025510723756,Very High
MnS2Cl,0.9498028357498278,High
MnTe3Pd,0.9491927693906931,High
MnRuO3,0.9487643124415577,High
MnO2F,0.9484394205417038,High
Mn(WCl2)2,0.9483419186097867,High
HfMnCl3,0.9472719585051929,High
Ni(MoBr2)2,0.9465297894404613,High
MnSe2Cl,0.9462897753831131,High
TiCrI3,0.9462602813161628,High
VNiF3,0.9460626233746848,High
TaFeBr3,0.9458571880869097,High
MnWO3,0.9452110269101229,High
VICl2,0.9451281554835114,High
VCoSe3,0.9451081436753932,High
VNiI3,0.9450218569960915,High
VCoI3,0.9449997539621944,High
NbFeF3,0.944796478173761,High
TiCrSe3,0.9446309260490163,High
MnSe2Br,0.9443404167969185,High
Co(MoCl2)2,0.9441053467977446,High
Mn2CuTe4,0.9440391036964495,High
Cr2CuI4,0.943884569495807,High
MnTeCl2,0.9437586917125165,High
Nb2FeO4,0.9435844423791968,High
CrS2Br,0.9435232108749109,High
MnRu2F4,0.94331118276538,High
MnPtI3,0.9431299654961639,High
VMoBr3,0.9430937682610362,High
CrCuBr3,0.943037376845533,High
NbFeS3,0.9427193597215636,High
MnMoS3,0.9425851860842821,High
Mn(PtI2)2,0.9425623190724133,High
MnRuI3,0.9423890963230348,High
Nb2CrO4,0.9421488294392674,High
MnSeI2,0.942107098948626,High
MnPtO3,0.9420916467315346,High
MnTe3Mo,0.9420371627651769,High
CoBrCl2,0.9418758285791583,High
MnWI3,0.9409963628183792,High
Cr(RuCl2)2,0.9406356612133908,High
Ti(MnTe2)2,0.940002437246152,High
Cr2Te3,0.9398148541446553,High
Nb2CrI4,0.9395107925941745,High
VCoF3,0.9393749035742726,High
VRuCl3,0.9393242376128638,High
CrFeI4,0.9392841064418649,High
Fe2NiTe4,0.9386939974830837,High
Mn(PtO2)2,0.9383509493054595,High
CoCuO3,0.9381756756511741,High
MnRuF3,0.937686409171812,High
Mn(WI2)2,0.9373296219398878,High
VCrCl4,0.9372781313078782,High
TiCrO3,0.9371214810242317,High
CrS2Cl,0.9369845968365911,High
CrIF2,0.9366993956222182,High
FePdO3,0.9365778284300934,High
FeBr2Cl,0.9362427611708587,High
MnCuSe3,0.9360642191095019,High
CrI2F,0.9358611637225527,High
V(NiS2)2,0.9358456625309728,High
MnSI2,0.9357001798267939,High
VI2Br,0.935524439815927,High
VNiTe3,0.9351913565621027,High
Cr2CuS4,0.9351045516337881,High
VIBr2,0.9350878248525332,High
CrRu2F4,0.9349137840720384,High
Zr2MnCl4,0.9348298814269541,High
TaCoF3,0.9346683189046925,High
Cr(RuO2)2,0.9345302826764048,High
MnWSe3,0.9343313543439823,High
MnTe2Br,0.9343038207929241,High
VBr2Cl,0.934243499972273,High
MnS2Br,0.9338671475671116,High
NbFeCl3,0.9333501498540833,High
V(CoS2)2,0.9332541696000576,High
MnMoSe3,0.9328820923819696,High
Ti(CoCl2)2,0.9327571147716868,High
MnCuS3,0.9320751381667608,High
FeWBr3,0.9319624762818376,High
TiMnI3,0.9318829708505098,High
VI2Cl,0.9310767212269476,High
CrNiTe3,0.9305107759853338,High
MnTe2Cl,0.9304632132917181,High
VMoCl3,0.9296191487889093,High
FePdF3,0.9295976155480499,High
Co(RuO2)2,0.9294757745302805,High
Fe(MoCl2)2,0.9293225940125853,High
NbCoBr3,0.9291129060936875,High
MnPtF3,0.9290795199170658,High
Cr2CuTe4,0.9289983938490312,High
CrRuF3,0.928820415806464,High
Mn(WO2)2,0.9286935229841604,High
TiMnF3,0.9281437681330622,High
Cr(PtCl2)2,0.9278435870925223,High
Mn(RuI2)2,0.9271993456085561,High
FeMoCl3,0.9270812838810265,High
CrPd2F4,0.9270120756129939,High
FeIBr2,0.9269211624702591,High
Nb2CrBr4,0.9267999121801586,High
FePdCl3,0.9264538203081462,High
CrPt2F4,0.9263647229016405,High
NbFeI3,0.9261578479527095,High
Mn(RuO2)2,0.9258940019177949,High
CoCuBr3,0.9251898466917217,High
Cr(MoBr2)2,0.9251250176615039,High
CrPtCl3,0.9247648233778775,High
Mn(NbCl2)2,0.9246764521075624,High
Ti(CoO2)2,0.9243192221789114,High
Mn(NbBr2)2,0.9237742778770679,High
VTe3Mo,0.9237729791991003,High
V(RuCl2)2,0.923758467559621,High
Mn2CuSe4,0.9236777286592218,High
VCrBr4,0.9236307113793858,High
CoCuCl3,0.9235006794278653,High
VWSe3,0.922762794867355,High
CrCuF3,0.9227451013197918,High
Cr2CuSe4,0.9220434433072561,High
NbCrF3,0.9217018304846305,High
FeMoI3,0.9215605531417268,High
TaCrCl3,0.9213531561074844,High
CoWF3,0.9213495949773496,High
FeWO3,0.9211950354350159,High
Nb2VTe4,0.9206682914236005,High
FeWSe3,0.9192090064681593,High
FeMoF3,0.919185842614049,High
V(RuO2)2,0.9188766603912492,High
MnPtSe3,0.9184338442718779,High
MnTeI2,0.9183507365228123,High
CrTeCl2,0.9174967358489069,High
TaCoBr3,0.9173908823745804,High
CrRuBr3,0.9163995231414273,High
MnSO2,0.9161180169433714,High
Nb2CrCl4,0.9160933242414933,High
NbCrCl3,0.9160044685436488,High
Zr2CrF4,0.9157614531690732,High
Fe2Te3,0.9156162617710296,High
VNiS3,0.9152594109467639,High
Mn(PdBr2)2,0.9150401798477494,High
FeI2Cl,0.9149753654639784,High
CoRuCl3,0.914790795604454,High
Hf2MnBr4,0.914696971566234,High
CoMoCl3,0.9144026220720031,High
TaCoCl3,0.9140648448318532,High
CrSeCl2,0.9138242840942032,High
V(NiSe2)2,0.9137425575024517,High
CrTeBr2,0.9132257697049483,High
HfMnI3,0.9132049995198752,High
Fe(MoO2)2,0.9131645307550545,High
MnNb2O4,0.9128879087883875,High
V(PdCl2)2,0.9120850662277133,High
Ni(MoI2)2,0.9118604171330583,High
VWF3,0.9113825021621839,High
FeI2Br,0.9113728426331238,High
Ti(FeSe2)2,0.911347818237128,High
Ti(FeS2)2,0.9109650834840001,High
Ta2MnBr4,0.9099814516895404,High
CrIO2,0.9093601479341654,High
Cr(PdCl2)2,0.9090859793925345,High
MnSF2,0.9090387357438467,High
Nb2FeF4,0.9087879006596582,High
TiCrS3,0.9084893792259434,High
Ti(MnS2)2,0.9084023876646656,High
Hf2CrO4,0.9082235507172939,High
FeICl2,0.9081868687726279,High
NiMoBr3,0.9078434959576797,High
FeMoS3,0.9077531828466466,High
Fe(MoBr2)2,0.9075858216509748,High
Ti(CoI2)2,0.9069694957246844,High
FePtCl3,0.9068787210792965,High
NbCoF3,0.9063990763356422,High
CrCuCl3,0.9057889731036765,High
Mn(PdCl2)2,0.9049657040421302,High
VCrI4,0.9049451192924239,High
VCl2F,0.9047934766505218,High
CrPdCl3,0.9044777230435365,High
Co2CuCl4,0.9042619717965023,High
MnCuTe3,0.904176023611877,High
Fe(WO2)2,0.904052640133583,High
NbCoCl3,0.9039432335627003,High
